,en,pt_BR,ja
btn_play,Play,Jogar,Ensō suru
btn_credit,Credits,Créditos,Kurejitto
btn_how,How to Play,Como Jogar,Asobikata
btn_exit,Exit,Sair,Gaishutsu suru ni wa
btn_back,Back,Voltar,Modotte
btn_support,Player Support,Suporte ao Jogador,Pureiyāsapōto
btn_feedback,FeedBack,FeedBack,Fīdobakku
btn_language,Language,Idioma,Gengo
btn_updates,UpdateLog,Atualizações,Kōshin
btn_setting,Settings,Configurações,Settei
btn_version,Version,Versão,Bājon
tt_transition1,Chapter 01 - The Journey Begins,Capítulo 01 - A Jornada Começa,Dai 01-shō - tabi no hajimari
txt_transition1,"This story begins in a small village of free Indians who cultivate the land, hunt enough 
to survive and try to maintain harmony with their gods, located in the state of Rio 
Grande do Sul. This small village is situated on the banks of the Rio De La Plata, with
fishing as its main activity because it is located on riverbanks, being one of the 
villages that are part of the Guarani tribe, even though it is far from its main villages.","Esta história começa em uma pequena aldeia de índios livres que cultivam a terra,
caçam o suficiente para sobreviver e tentam manter a harmonia com os seus 
deuses, situada no estado do Rio Grande do Sul. Esta pequena aldeia está
situada à margem do Rio De La Plata, tendo como principal atividade a pesca por
estar localizada em margens ribeirinhas, sendo uma das aldeias que fazem parte
da tribo Guarani, mesmo estando distante de suas aldeias principais.","Kono monogatari wa, riogurandedosuru-shū ni aru, tochi o tagayashi, ikinokori, kamigami to no chōwa o iji shiyou to suru jiyūna indohito no chīsana mura kara hajimarimasu. Kono chīsana mura wa, riode no hotori ni arimasu. Rapurata wa, kawagishi ni ichi shite iru tame, omona katsudō wa tsurideari, shuyōna mura kara tōkuhanarete imasuga, guarani-zoku no ichibudearu mura no 1tsudesu."
tt_transition2,Chapter 02 - Training Body and Soul,Capítulo 02 - Treinando Corpo e Alma,Dai 02-shō - karada to tamashī no torēningu
txt_transition2,object,Objeto,o
ob,hi,oi,yo
ald_pl1,Welcome to the Guarani village!,Bem vindo a aldeia guarani !,Guaranī mura e yōkoso!
